ファイル名	代替え写真番号	カテゴリ	顧客カテゴリ	イラストカテゴリ	イラスト別版名	イラストTIF名	FM登録日	登録日	使用可能終了日	使用期限なし	 原稿	切り抜き（ky）	国内海外	国名県名	 地名	撮影月	PST	写真キーワード	イラストキーワード	内容	   写真入手元	  レンポジ番号	更新	  要クレジット	初回伝票番号	担当部署	担当氏名	登録依頼者	使用条件項目1	使用条件項目2	他の制作会社への貸出が	使用規定書	使用条件に関する備考	画像生成パターン	     入力者	DS登録可	      その他のコメント	採番済み	加工元ファイル名	加工作業内容	加工画像登録者	使用禁止・削除理由	削除日	削除者	中国語　国・県名	中国語　地名	中国語　内容
BP17-029548D.jpg								2017-07-04 00:00:00	2026-06-27 00:00:00		写真		海外	カナダ		0	E	風景,夕景,秋,紅葉,海外		ナイアガラフォールズ 秋 紅葉　夕日	iStock	171587080			L001927503	BUD		村範子	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤隆介	あり	2023/6/23 阪急トラベルサポート齋藤 かんな様 DS許可済										
BP18-063653D.jpg								2018-11-16 00:00:00	2026-06-27 00:00:00		写真		海外	カナダ	バンフ国立公園	0	E	風景,海外,モレーン湖		モレーンレイク　バンフ国立公園　カナディアンロッキー	iStock	532747963			A008403005	BUD		大村尚徳	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤隆介	あり	2023/6/23 阪急トラベルサポート齋藤 かんな様 DS許可済						0				
BP19-036793D.jpg								2019-04-05 00:00:00	2026-06-27 00:00:00		写真		海外	カナダ	バンフ国立公園	0	E	風景,秋,紅葉,海外		レイクルイーズ　ルイーズ湖　紅葉　黄葉	123RF	109504539			A011001800	BUD		浦本享佑	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤隆介	あり	2023/6/23 阪急トラベルサポート齋藤 かんな様 DS許可済						0				
BP19-048315D.jpg								2019-05-07 00:00:00	2026-06-27 00:00:00		写真		海外	カナダ	ナイアガラ	0	E	風景,秋,紅葉,海外		ナイアガラの滝　紅葉　秋　空撮	AdobeStock	95438921			F011327200	BUD		泉愛花	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤隆介	あり	2023/6/23 阪急トラベルサポート齋藤 かんな様 DS許可済										
BP19-048316D.jpg								2019-05-07 00:00:00	2026-06-27 00:00:00		写真		海外	カナダ	バンフ国立公園	0	E	風景,秋,海外,レイク・ルイーズ,ルイーズ湖,バンフ国立公園		レイクルイーズ　秋	123RF	49249120			F011327200	BUD		泉愛花	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤隆介	あり	2023/6/23 阪急トラベルサポート齋藤 かんな様 DS許可済										
BP19-129832D.jpg								2019-12-03 00:00:00	2026-06-27 00:00:00		写真		海外	カナダ	バンフ	0	E	宿泊施設,外観,海外,ザ・フェアモント・バンフ・スプリングス,ザ フェアモント バンフ スプリングス ホテル,ザフェアモントバンフスプリングスホテル,ザ・フェアモント・バンフ・スプリングス・ホテル		ザフェアモントバンフスプリングス 外観 ゴルフ場	iStock	172259718			P014079100	BUD		浦本享佑	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤	あり	2023/6/23 阪急トラベルサポート齋藤 かんな様 DS許可済						0				
BS19-120193D.jpg								2019-10-23 00:00:00	2026-06-27 00:00:00		写真		海外	カナダ	バンフ	10	E	宿泊施設,外観,海外,ザ フェアモント バンフ スプリングス,ザフェアモントバンフスプリングス,ザ・フェアモント・バンフ・スプリングス,ザ フェアモント バンフ スプリングス ホテル,ザフェアモントバンフスプリングスホテル,ザ・フェアモント・バンフ・スプリングス・ホテル		フェアモント・バンフ・スプリングス　外観	budite浦本享佑撮影				P013409800	BUD		浦本享佑	紙WEB共に使用可能	加工と文字掛け可能	できません				寺澤	あり	2023/6/23 阪急トラベルサポート齋藤 かんな様 DS許可済						0				
BS19-122490D.jpg								2019-10-31 00:00:00	2026-06-27 00:00:00		写真		海外	カナダ	アルバータ州バンフ	10	E	風景,世界遺産,海外,バンフ国立公園,世界遺産		ボウ滝　2019年	バド浦本享佑				A013751103	BUD		浦本享佑	紙WEB共に使用可能	加工と文字掛け可能	できません				沢田	あり	2023/6/23 阪急トラベルサポート齋藤 かんな様 DS許可済						0				
EBP10-06958D.jpg								2010-02-19 00:00:00	2026-06-27 00:00:00		写真		海外	カナダ	アルバータ					ボウ滝　ボウ川　バンフ国立公園	fotolia	4731382	流用		ストックフォト		富樫		紙WEB共に使用可能	その他の条件	できません				富樫	なし	2023/6/23 阪急トラベルサポート齋藤 かんな様 DS許可済										
EBP10-24012D.jpg								2010-06-14 00:00:00	2026-06-27 00:00:00		写真		海外	カナダ	バンフ					カスケードガーデンから見たカスケード山 カナディアンロッキー	photolibrary	287304	流用		ストックフォト	BUD	堀内		紙WEB共に使用可能	加工と文字掛け可能	できません				堀内	なし	フォトライブラリー無料素材の為、新聞広告も可です。 フォトライブラリー購入素材の場合はバド所有画像となる為、新聞広告不可になります。2023/6/23 阪急トラベルサポート齋藤 かんな様 DS許可済										
EBP10-24216D.jpg								2010-06-15 00:00:00	2026-06-27 00:00:00		写真		海外	カナダ						カスケードガーデン 庭園 ガーデン カナディアンロッキー	photolibrary	287049	流用		ストックフォト	BUD	堀内		紙WEB共に使用可能	加工と文字掛け可能	できません				堀内	なし	フォトライブラリー無料素材の為、新聞広告も可です。 フォトライブラリー購入素材の場合はバド所有画像となる為、新聞広告不可になります。2023/6/23 阪急トラベルサポート齋藤 かんな様 DS許可済										
EBP15-06295D.jpg								2015-02-03 00:00:00	2026-06-27 00:00:00		写真		海外	カナダ　アメリカ		0		秋		ナイアガラの滝　カナダ滝　秋　Niagara falls	fotolia	35443759	流用		N087540	三越トラベル		仲川浩史	紙WEB共に使用可能	加工と文字掛け可能	できません				沢田	なし	2023/6/23 阪急トラベルサポート齋藤 かんな様 DS許可済						0				
EBP15-18144D.jpg								2015-04-01 12:00:00	2026-06-27 00:00:00		写真		海外	カナダ		0		秋		レイクルイーズ　紅葉　Autumn at Lake Louise	iStock	49670566	流用		A456931	東京メディア	亀田悦子様	花松修司	紙WEB共に使用可能	加工と文字掛け可能	できません				寺沢	あり	2023/6/23 阪急トラベルサポート齋藤 かんな様 DS許可済										
EBP15-33270D.jpg								2015-06-23 12:00:00	2026-06-27 00:00:00		写真		海外	カナダ						カナダ　バンフ国立公園　ペイトレイク　Magnificent blue waters of Peyto Lake of Banff National Park in Canada	123RF	16659611	流用		P801831	BUD		小原和歌	紙WEB共に使用可能	加工と文字掛け可能	できません				寺沢	あり	2023/6/23 阪急トラベルサポート齋藤 かんな様 DS許可済										
EBP16-26223D.jpg								2016-05-09 12:00:00	2026-06-27 00:00:00		写真		海外	カナダ		0	E	秋		ナイアガラフォールズ 秋 ナイアガラフォールズシティ ナイアガラ滝 カナダ  ナイアガラ川	iStock	22052507	流用		N105990	BUD		有賀宏之	紙WEB共に使用可能	加工と文字掛け可能	できません				山田（早）	なし	2023/6/23 阪急トラベルサポート齋藤 かんな様 DS許可済										
SP19-020235D.jpg								2019-03-01 00:00:00	2025-11-25 00:00:00		写真		海外	カナダ	バンフ	0	E	宿泊施設,外観,海外,ザ フェアモント バンフ スプリングス,ザフェアモントバンフスプリングス,ザ・フェアモント・バンフ・スプリングス,ザ フェアモント バンフ スプリングス ホテル,ザフェアモントバンフスプリングスホテル,ザ・フェアモント・バンフ・スプリングス・ホテル		ザフェアモントバンフスプリングス 外観	メープルファンエンタープライズ株式会社 大阪支社　太田雄祐様/【2022年】メープルファンエンタープライズ（株）　飯沼奈保美様				F010112900/【2022年】DS個別	大阪フレンドツアー	檜田茉里奈様/【2022年】東京フレンドツアー　桐間朱梨様	佐々木理香子/【2022年】大久保映見	紙WEB共に使用可能	加工と文字掛け可能	できます				寺澤隆介/【2022年】寺澤	なし	2022-11-25期限延長 2023/6/23 阪急トラベルサポート齋藤 かんな様 DS許可済						0				
