Target campaign	Target ad group	tour_price(text)	URL(text)
SC_国内バスツアー_001_北海道発	SC_国内バスツアー_001_北海道発_BIGワード_h	3,980円	http://www.hankyu-travel.com/bus/spk.php
SC_国内バスツアー_002_青森発	SC_国内バスツアー_002_青森発_BIGワード_h	2.99万円	http://www.hankyu-travel.com/bus/aoj.php
SC_国内バスツアー_003_東北発	SC_国内バスツアー_003_東北発_BIGワード_h	6,990円	http://www.hankyu-travel.com/bus/sdj.php
SC_国内バスツアー_004_北関東発	SC_国内バスツアー_004_北関東発_BIGワード_h	7,990円	http://www.hankyu-travel.com/bus/ibr.php
SC_国内バスツアー_005_関東発	SC_国内バスツアー_005_関東発_BIGワード_h	4,990円	http://www.hankyu-travel.com/bus/tyo.php
SC_国内バスツアー_006_新潟発	SC_国内バスツアー_006_新潟発_BIGワード_h	5,990円	http://www.hankyu-travel.com/bus/kij.php
SC_国内バスツアー_007_長野発	SC_国内バスツアー_007_長野発_BIGワード_h	2.5万円	http://www.hankyu-travel.com/bus/mmj.php
SC_国内バスツアー_008_北陸発	SC_国内バスツアー_008_北陸発_BIGワード_h	6,980円	http://www.hankyu-travel.com/bus/hkr.php
SC_国内バスツアー_009_名古屋発	SC_国内バスツアー_009_名古屋発_BIGワード_h	3,990円	http://www.hankyu-travel.com/bus/ngo.php
SC_国内バスツアー_010_静岡発	SC_国内バスツアー_010_静岡発_BIGワード_h	1万円	http://www.hankyu-travel.com/bus/szo.php
SC_国内バスツアー_011_関西発	SC_国内バスツアー_011_関西発_BIGワード_h	5,980円	http://www.hankyu-travel.com/bus/osa.php
SC_国内バスツアー_012_山陰発	SC_国内バスツアー_012_山陰発_BIGワード_h	料金無しのため掲載なし	http://www.hankyu-travel.com/bus/izo.php
SC_国内バスツアー_013_岡山発	SC_国内バスツアー_013_岡山発_BIGワード_h	3,980円	http://www.hankyu-travel.com/bus/okj.php
SC_国内バスツアー_014_広島発	SC_国内バスツアー_014_広島発_BIGワード_h	4,980円	http://www.hankyu-travel.com/bus/hij.php
SC_国内バスツアー_015_山口発	SC_国内バスツアー_015_山口発_BIGワード_h	料金無しのため掲載なし	http://www.hankyu-travel.com/bus/ubj.php
SC_国内バスツアー_016_香川・徳島発	SC_国内バスツアー_016_香川・徳島発_BIGワード_h	7,990円	http://www.hankyu-travel.com/bus/tak.php
SC_国内バスツアー_017_松山発	SC_国内バスツアー_017_松山発_BIGワード_h	8,990円	http://www.hankyu-travel.com/bus/myj.php
SC_国内バスツアー_018_高知発	SC_国内バスツアー_018_高知発_BIGワード_h	9,990円	http://www.hankyu-travel.com/bus/kcz.php
SC_国内バスツアー_019_福岡発	SC_国内バスツアー_019_福岡発_BIGワード_h	2,017円	http://www.hankyu-travel.com/bus/fuk.php
SC_国内バスツアー_020_長崎発	SC_国内バスツアー_020_長崎発_BIGワード_h	7,990円	http://www.hankyu-travel.com/bus/ngs.php
SC_国内バスツアー_021_熊本発	SC_国内バスツアー_021_熊本発_BIGワード_h	5,990円	http://www.hankyu-travel.com/bus/kmj.php
SC_国内バスツアー_022_大分発	SC_国内バスツアー_022_大分発_BIGワード_h	8,990円	http://www.hankyu-travel.com/bus/oit.php
SC_国内バスツアー_023_宮崎発	SC_国内バスツアー_023_宮崎発_BIGワード_h	1.29万円	http://www.hankyu-travel.com/bus/kmi.php
SC_国内バスツアー_024_鹿児島発	SC_国内バスツアー_024_鹿児島発_BIGワード_h	3,980円	http://www.hankyu-travel.com/bus/koj.php
SC_国内バスツアー_025_沖縄発	SC_国内バスツアー_025_沖縄発_BIGワード_h	料金無しのため掲載なし	http://www.hankyu-travel.com/bus/oka.php
SC_国内バスツアー_001_北海道発	SC_国内バスツアー_001_北海道発_目的地（都道府県KW）_h	3,980円	http://www.hankyu-travel.com/bus/spk.php
SC_国内バスツアー_002_青森発	SC_国内バスツアー_002_青森発_目的地（都道府県KW）_h	2.99万円	http://www.hankyu-travel.com/bus/aoj.php
SC_国内バスツアー_003_東北発	SC_国内バスツアー_003_東北発_目的地（都道府県KW）_h	6,990円	http://www.hankyu-travel.com/bus/sdj.php
SC_国内バスツアー_004_北関東発	SC_国内バスツアー_004_北関東発_目的地（都道府県KW）_h	7,990円	http://www.hankyu-travel.com/bus/ibr.php
SC_国内バスツアー_005_関東発	SC_国内バスツアー_005_関東発_目的地（都道府県KW）_h	4,990円	http://www.hankyu-travel.com/bus/tyo.php
SC_国内バスツアー_006_新潟発	SC_国内バスツアー_006_新潟発_目的地（都道府県KW）_h	5,990円	http://www.hankyu-travel.com/bus/kij.php
SC_国内バスツアー_007_長野発	SC_国内バスツアー_007_長野発_目的地（都道府県KW）_h	2.5万円	http://www.hankyu-travel.com/bus/mmj.php
SC_国内バスツアー_008_北陸発	SC_国内バスツアー_008_北陸発_目的地（都道府県KW）_h	6,980円	http://www.hankyu-travel.com/bus/hkr.php
SC_国内バスツアー_009_名古屋発	SC_国内バスツアー_009_名古屋発_目的地（都道府県KW）_h	3,990円	http://www.hankyu-travel.com/bus/ngo.php
SC_国内バスツアー_010_静岡発	SC_国内バスツアー_010_静岡発_目的地（都道府県KW）_h	1万円	http://www.hankyu-travel.com/bus/szo.php
SC_国内バスツアー_011_関西発	SC_国内バスツアー_011_関西発_目的地（都道府県KW）_h	5,980円	http://www.hankyu-travel.com/bus/osa.php
SC_国内バスツアー_012_山陰発	SC_国内バスツアー_012_山陰発_目的地（都道府県KW）_h	料金無しのため掲載なし	http://www.hankyu-travel.com/bus/izo.php
SC_国内バスツアー_013_岡山発	SC_国内バスツアー_013_岡山発_目的地（都道府県KW）_h	3,980円	http://www.hankyu-travel.com/bus/okj.php
SC_国内バスツアー_014_広島発	SC_国内バスツアー_014_広島発_目的地（都道府県KW）_h	4,980円	http://www.hankyu-travel.com/bus/hij.php
SC_国内バスツアー_015_山口発	SC_国内バスツアー_015_山口発_目的地（都道府県KW）_h	料金無しのため掲載なし	http://www.hankyu-travel.com/bus/ubj.php
SC_国内バスツアー_016_香川・徳島発	SC_国内バスツアー_016_香川・徳島発_目的地（都道府県KW）_h	7,990円	http://www.hankyu-travel.com/bus/tak.php
SC_国内バスツアー_017_松山発	SC_国内バスツアー_017_松山発_目的地（都道府県KW）_h	8,990円	http://www.hankyu-travel.com/bus/myj.php
SC_国内バスツアー_018_高知発	SC_国内バスツアー_018_高知発_目的地（都道府県KW）_h	9,990円	http://www.hankyu-travel.com/bus/kcz.php
SC_国内バスツアー_019_福岡発	SC_国内バスツアー_019_福岡発_目的地（都道府県KW）_h	2,017円	http://www.hankyu-travel.com/bus/fuk.php
SC_国内バスツアー_020_長崎発	SC_国内バスツアー_020_長崎発_目的地（都道府県KW）_h	7,990円	http://www.hankyu-travel.com/bus/ngs.php
SC_国内バスツアー_021_熊本発	SC_国内バスツアー_021_熊本発_目的地（都道府県KW）_h	5,990円	http://www.hankyu-travel.com/bus/kmj.php
SC_国内バスツアー_022_大分発	SC_国内バスツアー_022_大分発_目的地（都道府県KW）_h	8,990円	http://www.hankyu-travel.com/bus/oit.php
SC_国内バスツアー_023_宮崎発	SC_国内バスツアー_023_宮崎発_目的地（都道府県KW）_h	1.29万円	http://www.hankyu-travel.com/bus/kmi.php
SC_国内バスツアー_024_鹿児島発	SC_国内バスツアー_024_鹿児島発_目的地（都道府県KW）_h	3,980円	http://www.hankyu-travel.com/bus/koj.php
SC_国内バスツアー_025_沖縄発	SC_国内バスツアー_025_沖縄発_目的地（都道府県KW）_h	料金無しのため掲載なし	http://www.hankyu-travel.com/bus/oka.php
